序号,行业名称,当前周期阶段,未来1-3年景气度,评价,
1,PCB（印制电路板）,成长期,高成长 ✅,AI服务器、汽车电子驱动,
2,云基础设施服务,成长期,高成长 ✅,数据中心与算力需求,
3,AI企业应用,成长期,高成长 ✅,AI在ToB端的收入增长明显,
4,AI教育,成长期,高成长 ✅,人工智能技术在教育领域的应用,
5,AI医疗,成长期,高成长 ✅,尚处早期，但AI辅助诊断、医学影像AI、药物研发AI具备高潜力,
6,碳市场服务、碳交易,成长期,高成长 ✅,碳市场建设提速，双碳政策驱动,
7,人形机器人,成长期,高成长 ✅,企业侧、居民侧都存在大量真实需求,
8,虚拟电厂,成长期,高成长 ✅,电力系统智能化管理与量测响应,
9,商业航天,成长期,高成长 ✅,火箭可回收技术已经成熟，同时政策加大资源投入,
10,合成生物学,成长期,高成长 ✅,企业上云、AI驱动,
11,云软件服务,成长期,高成长 ✅,SaaS与AI应用融合,
12,产联网信息服务,成长期,高成长 ✅,工业数据服务与AI应用,
13,产联网平台服务,成长期,高成长 ✅,工业互联网平台化,
14,产联网综合服务,成长期,高成长 ✅,工业互联网渗透率提升,
15,仪器仪表,成长期,高成长 ✅,高端制造与实验室需求,
16,体外诊断,成长期,高成长 ✅,精准医疗与早筛普及,
17,体外加工设备,成长期,高成长 ✅,技术迭代带动更新需求,
18,光伏发电,成长期,高成长 ✅,清洁能源装机加速,
19,光伏电池组件,成长期,高成长 ✅,技术迭代与全球机会,
20,光伏硅料,成长期,高成长 ✅,N型技术带动结构性机会,
21,光伏硅片,成长期,高成长 ✅,N型技术迭代带动,
22,光伏辅材,成长期,高成长 ✅,装机增长带动,
23,光伏逆变器,成长期,高成长 ✅,光伏装机增长+储能配套,
24,光学元件,成长期,高成长 ✅,车载激光、AR/VR需求,
25,智能云服务,成长期,高成长 ✅,企业数字化与AI应用,
26,汽车云服务零部件,成长期,高成长 ✅,电动化、智能化带动,
27,生物制药,成长期,高成长 ✅,生物类似药、创新药发展,
28,自动化设备,成长期,高成长 ✅,智能制造渗透率提升,
29,金属新材料,成长期,高成长 ✅,高端制造与新能源驱动,
30,制药装备,成长期,高成长 ✅,生物药产能扩张带动,
31,功率半导体,成长期,高成长 ✅,新能源车、光伏需求强劲,
32,医疗研发外包,成长期,高成长 ✅,创新药研发投入加大,
33,医疗耗材,成长期,高成长 ✅,老龄化与医疗升级,
34,医疗设备,成长期,高成长 ✅,国产替代与医疗新基建,
35,医美耗材,成长期,高成长 ✅,消费医疗与轻医美普及,
36,半导体制造,成长期,高成长 ✅,国产替代与产能扩张,
37,半导体封测,成长期,高成长 ✅,先进封装需求爆发,
38,半导体材料,成长期,高成长 ✅,国产替代逻辑明确,
39,半导体设备,成长期,高成长 ✅,国产替代逻辑强化,
40,地面兵装,成长期,高成长 ✅,国防现代化加速,
41,基因药物,成长期,高成长 ✅,基因治疗与细胞治疗发展,
42,基础软件,成长期,高成长 ✅,信创与云原生驱动,
43,工业控制设备,成长期,高成长 ✅,智能制造与自动化升级,
44,抗体药物,成长期,高成长 ✅,生物医药创新持续,
45,新兴软件,成长期,高成长 ✅,AI、区块链等新技术应用,
46,机器人,成长期,高成长 ✅,自动化需求+人形机器人突破,
47,检测服务,成长期,高成长 ✅,制造业升级与合规要求提升,
48,氟化工,成长期,高成长 ✅,新能源、半导体材料需求,
49,汽车电子电气系统,成长期,高成长 ✅,智能化与电动化驱动,
50,激光设备,成长期,高成长 ✅,高端制造、半导体需求,
51,燃料电池,成长期,高成长 ✅,政策支持与示范项目推进,
52,环境监测,成长期,高成长 ✅,环保政策与技术升级,
53,电动乘用车,成长期,高成长 ✅,渗透率持续提升,
54,电机制造,成长期,高成长 ✅,电动车、机器人驱动,
55,电池化学品,成长期,高成长 ✅,新型电池材料需求增长,
56,电网自动化,成长期,高成长 ✅,智能电网与配网升级,
57,电能综合服务,成长期,高成长 ✅,能源服务与虚拟电厂发展,
58,碳纤维,成长期,高成长 ✅,航空航天、新能源车轻量化,
59,磁性材料,成长期,高成长 ✅,新能源汽车、机器人驱动,
60,稀土,成长期,高成长 ✅,新能源、机器人需求强劲,
61,航天装备,成长期,高成长 ✅,军民融合、卫星互联网加速,
62,航海装备,成长期,高成长 ✅,造船周期上行+军民融合,
63,航空装备,成长期,高成长 ✅,大飞机与国防需求,
64,血液制品,成长期,高成长 ✅,生物制品需求增长,
65,行业应用软件,成长期,高成长 ✅,垂直行业数字化深化,
66,诊断服务,成长期,高成长 ✅,精准医疗与早筛普及,
67,诊断试剂,成长期,高成长 ✅,精准医疗与传染病监测,
68,跨境电商,成长期,高成长 ✅,全球化与数字化驱动,
69,输变电设备,成长期,高成长 ✅,电网投资加速,
70,配电设备,成长期,高成长 ✅,电网改造与新能源接入,
71,钛,成长期,高成长 ✅,航空航天、化工需求增长,
72,锂电池,成长期,高成长 ✅,储能与电动车需求持续,
73,锂电设备,成长期,高成长 ✅,电池技术迭代带动更新需求,
74,集成电路制造,成长期,高成长 ✅,国产化芯片制造能力快速发展,
75,集成电路封测,成长期,高成长 ✅,CoWoS封装国产化带来新机会,
76,集成电路设计,成长期,高成长 ✅,AI芯片、汽车芯片驱动,
77,风力发电,成长期,高成长 ✅,海风与分散式风电发展,
78,风电整机,成长期,高成长 ✅,海风装机加速,
79,风电零部件,成长期,高成长 ✅,海风装机加速+国产替代,
80,LED,成长期,温和增长,Mini/Micro LED应用拓展,
81,个护小家电,成长期,温和增长,消费升级与个性化,
82,中药,成长期,温和增长,政策支持与消费升级,
83,休闲综合,成长期,温和增长,消费升级带动,
84,会展服务,复苏期,温和增长,商务活动带动,
85,体育,复苏期,温和增长,健康意识与赛事恢复,
86,保健品,成长期,温和增长,老龄化与健康意识提升,
87,农用机械,成长期,温和增长,农业现代化政策支持,
88,动物保健,成长期,温和增长,养殖规模化提升需求,
89,化妆品,成长期,温和增长,国货崛起与消费升级,
90,化学制剂,成长期,温和增长,仿制药与创新药并行,
91,化学工程,复苏期,温和增长,化工产能升级与转移,
92,医院,成长期,温和增长,医疗需求刚性,
93,原料药,成长期,温和增长,全球供应链转移,
94,品牌消费电子,成长期,温和增长,AI硬件与新品周期,
95,商用载货车,成长期,温和增长,物流增长带动,
96,固废治理,成长期,温和增长,环保政策推进,
97,国际工程,复苏期,温和增长,“一带一路”推进,
98,基建工程,复苏期,温和增长,财政发力基建,
99,大气治理,复苏期,温和增长,环保政策持续推进,
100,宠物食品,成长期,温和增长,宠物经济发展,
101,家用器械,成长期,温和增长,老龄化与家庭健康,
102,工程咨询服务,复苏期,温和增长,基建与绿色建筑带动,
103,工程机械整机,复苏期,温和增长,海外市场与更新需求,
104,工程机械零件,复苏期,温和增长,海外市场与更新需求支撑,
105,底盘与发动机系统,转型期,温和增长,新能源车转型中,
106,影视制作,复苏期,温和增长,内容消费复苏,
107,改性塑料,成长期,温和增长,汽车轻量化、电子材料升级,
108,旅游景区,复苏期,温和增长,旅游消费带动,
109,旅游服务,复苏期,温和增长,旅游消费带动,
110,机场,复苏期,温和增长,旅游和商务出行带动,
111,机床制造,复苏期,温和增长,高端机床国产替代,
112,机械基础件,复苏期,温和增长,制造业升级带动，但内卷也严重,
113,火力发电,成长期,温和增长,清洁能源政策支持,
114,水治理,复苏期,温和增长,环保政策支持,
115,汽车经销商,成长期,温和增长,汽车消费带动,
116,汽车综合服务,成长期,温和增长,汽车后市场带动,
117,油气工程,复苏期,温和增长,能源安全投资,
118,油田服务,复苏期,温和增长,能源安全投资,
119,消费电子组件,复苏期,温和增长,AI硬件、XR设备带来新需求,
120,清洁小家电,成长期,温和增长,消费升级与懒人经济,
121,游戏,复苏期,温和增长,出海与版号恢复,
122,烘焙食品,成长期,温和增长,消费升级与便捷化,
123,特种纸,成长期,温和增长,高端包装与工业应用,
124,特钢,复苏期,温和增长,高端制造与军工需求,
125,环保设备,复苏期,温和增长,政策支持与技术升级,
126,生态修复,复苏期,温和增长,环保政策支持,
127,电工仪器,复苏期,温和增长,电网投资与工业升级,
128,种子,成长期,温和增长,生物育种政策推进,
129,线缆部件及其他,成长期,温和增长,新能源与电网投资带动,
130,综合乘用车,复苏期,温和增长,汽车消费政策支持,
131,胶粘剂及胶带,成长期,温和增长,新能源车与电子应用,
132,能源及重型设备,复苏期,温和增长,能源转型与基建带动,
133,被动元件,成长期,温和增长,汽车电子与AI硬件拉动,
134,跨境物流,复苏期,温和增长,跨境电商带动,
135,车身附件及饰件,成长期,温和增长,新能源车造型与功能升级,
136,轨交设备,复苏期,温和增长,城市轨道交通建设,
137,运动服装,成长期,温和增长,健康意识提升,
138,酒店,复苏期,温和增长,商旅与旅游恢复,
139,零食,成长期,温和增长,消费升级与渠道变革,
140,面板,复苏期,温和增长,价格触底回升，需求温和,
141,预加工食品,成长期,温和增长,便捷化饮食趋势,
142,乳制品,成熟期,平稳,消费需求稳定,
143,互联网广告,成熟期,平稳,流量见顶，增长放缓,
144,仓储物流,成熟期,平稳,电商与供应链需求,
